ID	Edate	elapsed_days	source	target	general_event_code	general_event_type_name	event_code	event_type_name	pattern	news_entry_id	full_title	X1_WOEID	X1_Type	X1_Name	X1_Centroid_latitude	X1_Centroid_longitude	X2_WOEID	X2_Type	X2_Name	X2_Centroid_latitude	X2_Centroid_longitude	X3_WOEID	X3_Type	X3_Name	X3_Centroid_latitude	X3_Centroid_longitude
226	20110423	40654	ALQ	MIL	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA IN YEMEN KILLS SOLDIERS	20110423  www_298	Al-Qaeda in Yemen kills 20 soldiers in 24 hours.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
254	20110427	40658	ALQ	MIL	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA IN YEMEN KILLS MILITARY	20110427  www_11363	Al-Qaeda in Yemen kills military amid tribal-brokered truce.	55922531	Suburb	Musaimeer; Doha; Doha; QA (Suburb)	25.2385	51.5466	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
276	20110503	40664	ALQ	MIL	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA KILLS POLICE	20110503  www_2869	Al-Qaeda kills police and military across Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
277	20110503	40664	ALQ	COP	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA KILLS POLICE	20110503  www_2869	Al-Qaeda kills police and military across Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
281	20110504	40665	ALQ	MIL	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA IN YEMEN KILLS MILITARY	20110504  www_2913	Al-Qaeda in Yemen kills military and attacks headquarters.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
282	20110504	40665	ALQ	YEMMIL	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA KILLS YEMEN SOLDIERS	20110504  www_2911	Al-Qaeda kills Yemen soldiers to avenge Bin laden.	23424922	Country	Pakistan (Country)	30.4419	69.3597	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
331	20110514	40675	ALQ	TARDEF	01	Armed Group	1823	Kill by physical assault other casualty	ATTACKS LEAVE DEATHS	20110514  www_100058	New attacks for al-Qaeda in Yemen leave deaths and injures.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
343	20110517	40678	ALQ	TARDEF	01	Armed Group	1823	Kill by physical assault other casualty	AMBUSHES SECURITY	20110517  www_100055	Al-Qaeda in Yemen ambushes security and kills soldiers.	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531	56190111	County	Marib; Ma?rib; YE (Muderiah)	15.6213	46.0092	99999999	NA	NA	-999	-999
480	20110708	40730	ALQ	YEMMIL	01	Armed Group	1823	Kill by physical assault other casualty	AL QAEDA MILITANTS KILL YEMENI TROOPS	20110708  arabnews_1582	Suspected Al-Qaeda militants kill 10 Yemeni troops.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
810	20111001	40815	ALQ	YEM	01	Armed Group	1823	Kill by physical assault other casualty	YEMENI DIES AFTER AL QAEDA CUT OFF HAND	20111001  www_117592	Yemeni boy dies after al-Qaeda cut off his hand.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1140	20120111	40917	ALQ	YEMMIL	01	Armed Group	1823	Kill by physical assault other casualty	SET AMBUSH	20120111  www_80140	Al-Qaeda militants set ambush for Yemen intelligence officers; kill 2; wound 7.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1156	20120113	40919	ALQ	YEMMIL	01	Armed Group	1823	Kill by physical assault other casualty	SET AMBUSH	20120113  www_81414	Al-Qaeda insurgents set ambush for Yemen intelligence officers; kill 2; wound 7.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1280	20120201	40938	ALQ	YEM	01	Armed Group	1823	Kill by physical assault other casualty	SETS AMBUSH	20120201  www_57278	Al-Qaeda sets an ambush for Yemen troopers; kills three.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1313	20120212	40949	ALQ	YEM	01	Armed Group	1823	Kill by physical assault other casualty	YEMENIS ACCUSED OF	20120212  www_70708	Al-Qaeda executes 2 Yemenis accused of spying for US.	23424977	Country	United States (Country)	37.1679	-95.845	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1314	20120212	40949	ALQ	YEM	01	Armed Group	1823	Kill by physical assault other casualty	EXECUTES	20120212  www_70708	Al-Qaeda executes 2 Yemenis accused of spying for US.	23424977	Country	United States (Country)	37.1679	-95.845	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1315	20120212	40949	ALQ	YEM	01	Armed Group	1823	Kill by physical assault other casualty	SPYING	20120212  www_70708	Al-Qaeda executes 2 Yemenis accused of spying for US.	23424977	Country	United States (Country)	37.1679	-95.845	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1319	20120216	40953	ALQ	YEM	01	Armed Group	1823	Kill by physical assault other casualty	DEAD IN CLASHES	20120216  english_66075	'Local al-Qaeda chief' dead in Yemen clashes.	23424977	Country	United States (Country)	37.1679	-95.845	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531	23425002	Country	Yemen (Country)	15.7967	47.8507
44	20110309	40609	ALQ	YEMMIL	01	Armed Group	1824	Kill military casualty	YEMENI OFFICER AND THREE SOLDIERS KILLED IN AL QAEDA	20110309  www_19441	Yemeni officer and three soldiers killed in al-Qaeda ambush.	56190111	County	Marib; Ma?rib; YE (Muderiah)	15.6213	46.0092	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
177	20110412	40643	ALQ	YMS	01	Armed Group	1824	Kill military casualty	DIE IN SOUTH YEMEN	20110412  www_134	Military and al-Qaeda leaders die in clashes in south Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
526	20110722	40744	ALQ	NA	01	Armed Group	1824	Kill military casualty	No event found	20110722  feeds_1926	Senior Leader of Yemeni Qaeda Branch Is Said to Be Dead.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
927	20111106	40851	ALQ	TARDEF	01	Armed Group	1824	Kill military casualty	AL QAEDA MILITANTS KILL TROOPERS	20111106  www_107612	Al-Qaeda militants kill 2 troopers; Yemen forces kill 5 al-Qaeda suspects.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1130	20120108	40914	ALQ	TARDEF	01	Armed Group	1824	Kill military casualty	AL QAEDA MILITANTS KILL TROOPERS	20120108  www_78333	Al-Qaeda militants kill 2 troopers; Yemen army kill 6 militants.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
48	20110310	40610	ALQ	YEM	01	Armed Group	155	Mobilize or increase militant group	ESCALATES OPERATIONS IN YEMEN	20110310  www_19309	Al-Qaeda escalates its operations in Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
483	20110709	40731	ALQ	YEM	01	Armed Group	155	Mobilize or increase militant group	COMES OUT FROM HIDING IN YEMEN	20110709  www_1629	Al-Qaeda comes out from hiding in Yemen.	23425002	Country	Yemen (Country)	15.7967	47.8507	23424938	Country	Saudi Arabia (Country)	24.2612	45.1203	99999999	NA	NA	-999	-999
513	20110715	40737	ALQ	YEM	01	Armed Group	155	Mobilize or increase militant group	FILLING THE VACUUM IN YEMEN	20110715  www_1002	Al-Qaeda filling the vacuum in Yemen.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
684	20110909	40793	ALQ	YEM	01	Armed Group	155	Mobilize or increase militant group	AL QAEDA YEMEN GAINING STRENGTH AS INSURGENCY	20110909  www_144111	Brennan: Al-Qaeda offshoot in Yemen gaining strength as a powerful domestic insurgency.	23424977	Country	United States (Country)	37.1679	-95.845	23425002	Country	Yemen (Country)	15.7967	47.8507	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531
705	20110912	40796	ALQ	SOM	01	Armed Group	155	Mobilize or increase militant group	FIGHTERS FLOCK TO	20110912  www_146432	Somali fighters flock to Yemen to help al-Qaeda.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
953	20111117	40862	ALQ	YMS	01	Armed Group	155	Mobilize or increase militant group	AQAP EXPANDS IN SOUTH YEMEN	20111117  www_109676	AQAP expands in south Yemen.	23425002	Country	Yemen (Country)	15.7967	47.8507	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531	2496630	Town	South Point; OH; US (Town)	38.4216	-82.5755
1323	20120217	40954	ALQ	YEM	01	Armed Group	155	Mobilize or increase militant group	LEADER EMERGES IN	20120217  www_70704	New al-Qaeda leader emerges in Yemen; after Tariq Al-Dhahab killed in clashes over elections and power.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
730	20110916	40800	ALQ	YEMSHABWAPROV	01	Armed Group	156	Move forces from/to	MOVED FROM ZINJUBAR TO SHABWA	20110916  www_150816	Leaderships of al-Qaeda moved from Zinjubar to Shabwa province in south Yemen.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
381	20110528	40689	ALQ	YEMABYANCTY	01	Armed Group	192	Occupy territory	TAKES OVER ABYAN PROVINCE	20110528  www_100044	Al-Qaeda in Yemen takes over Abyan province and governor trapped.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
383	20110529	40690	ALQ	YEM	01	Armed Group	192	Occupy territory	TIGHTEN GRIP	20110529  www_101491	Al-Qaeda group tighten grip on Yemen coastal town.	1940345	Town	Dubai; Dubai; AE (Town)	25.2694	55.3087	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
431	20110616	40708	ALQ	YEMLAHJCTY	01	Armed Group	192	Occupy territory	CAPTURES CAPITAL OF LAHJ	20110616  www_1462	Al-Qaeda in Yemen captures capital of Lahj province.	23425002	Country	Yemen (Country)	15.7967	47.8507	23404002	Town	Aden; Alberta; CA (Town)	49.0404	-111.32	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531
593	20110822	40775	ALQ	YMS	01	Armed Group	192	Occupy territory	REGAINS CONTROL OVER IN SOUTH YEMEN	20110822  www_1169	Al-Qaida regains control over coastal city in south Yemen: officials.	1958354	Town	Shaqra'; Abyan; YE (Town)	13.358	45.6922	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
665	20110906	40790	ALQ	YEM	01	Armed Group	192	Occupy territory	TAKE OVER TOWN IN YEMEN	20110906  www_141756	Al-Qaeda militants take over town in southeast Yemen: official.	1958354	Town	Shaqra'; Abyan; YE (Town)	13.358	45.6922	23425002	Country	Yemen (Country)	15.7967	47.8507	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531
1177	20120115	40921	ALQ	TARDEF	01	Armed Group	192	Occupy territory	CAPTURES TERRITORIES	20120115  www_82523	AQAP captures more territories in central and southern Yemen.	1940957	Town	Al Bayda'; H'amah; SY (Town)	35.031	36.34	24865700	Supername	Arabian Peninsula (Supername)	23.6386	50.4531	23424786	Country	Comoros (Country)	-11.6516	43.36
1178	20120115	40921	ALQ	TARDEF	01	Armed Group	192	Occupy territory	CAPTURES TERRITORIES	20120115  www_82523	AQAP captures more territories in central and southern Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1208	20120116	40922	ALQ	YEM	01	Armed Group	192	Occupy territory	TIGHTEN GRIP	20120116  arabnews_82025	Al-Qaeda militants tighten grip on Yemen town.	23425002	Country	Yemen (Country)	15.7967	47.8507	23424977	Country	United States (Country)	37.1679	-95.845	2505150	Suburb	The Citadel; Glendale; AZ; US (Suburb)	33.5722	-112.201
1209	20120116	40922	ALQ	YEM	01	Armed Group	192	Occupy territory	TIGHTEN GRIP	20120116  arabnews_82025	Al-Qaeda militants tighten grip on Yemen town.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1213	20120116	40922	ALQ	YEM	01	Armed Group	192	Occupy territory	TIGHTEN GRIP	20120116  arabnews_82025	Al-Qaeda militants tighten grip on Yemen town.	23425002	Country	Yemen (Country)	15.7967	47.8507	23424977	Country	United States (Country)	37.1679	-95.845	2505150	Suburb	The Citadel; Glendale; AZ; US (Suburb)	33.5722	-112.201
1232	20120120	40926	ALQ	GOV	01	Armed Group	192	Occupy territory	SEIZED TOWN	20120120  www_85079	"Al-Qaeda leader imposes \adverse condition\\ on Yemen government to leave seized town.\"""""	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
697	20110911	40795	ALQ	YEMZINJUBARPROV	01	Armed Group	1921	Territory Liberated	LIBERATING ZINJUBAR FROM AL QAEDA	20110911  www_145650	80 Yemeni troopers killed and 600 wounded for liberating Zinjubar from al-Qaeda.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
698	20110911	40795	ALQ	YMS	01	Armed Group	1921	Territory Liberated	TOWNS LIBERATED FROM AL QAEDA IN SOUTH YEMEN	20110911  www_144863	Two towns liberated from Al Qaeda in south Yemen.	23424938	Country	Saudi Arabia (Country)	24.2612	45.1203	23424977	Country	United States (Country)	37.1679	-95.845	99999999	NA	NA	-999	-999
756	20110922	40806	ALQ	YEM	01	Armed Group	0049	Terrorism organization grow	AL QAEDA BENEFIT FROM CONFLICTS IN YEMEN AND EXPAND	20110922  www_153061	Al-Qaeda benefit from conflicts in Yemen and expand its presence.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
20	20110223	40595	ALQ	MIL	01	Armed Group	190	Use conventional military force	AL QAEDA ATTACK MILITARY	20110223  www_19418	Al-Qaeda to attack military headquarters in South Yemen.	23424882	Country	Libya (Country)	26.3385	17.2688	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999
175	20110412	40643	ALQ	YMS	01	Armed Group	190	Use conventional military force	CLASHES IN	20110412  www_134	Military and al-Qaeda leaders die in clashes in south Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
385	20110529	40690	ALQ	YMS	01	Armed Group	190	Use conventional military force	SHELLING TO RESTORE FROM AL QAEDA IN SOUTH YEMEN	20110529  www_100043	Heavy shelling to restore city from Al Qaeda in south Yemen.	23424757	Country	Belgium (Country)	50.501	4.47684	2343678	Town	Adana; Adana; TR (Town)	36.9854	35.325	99999999	NA	NA	-999	-999
428	20110615	40707	ALQ	YEM	01	Armed Group	190	Use conventional military force	FIGHTERS ATTACK YEMENI	20110615  english_2497	'Al-Qaeda' fighters attack Yemeni town.	23425002	Country	Yemen (Country)	15.7967	47.8507	496085	Town	Huta; Masovian; PL (Town)	51.1868	21.5516	23512095	Suburb	Dupont Circle; Washington; DC; US (Suburb)	38.9095	-77.0436
600	20110824	40777	ALQ	YMS	01	Armed Group	190	Use conventional military force	BATTLES	20110824  www_1242	80 Al Qaeda insurgents killed in south Yemen battles.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
642	20110901	40785	ALQ	GRP	01	Armed Group	190	Use conventional military force	RAIDS	20110901  english_137309	'US raids kill al-Qaeda fighters' in Yemen.	23425002	Country	Yemen (Country)	15.7967	47.8507	23424977	Country	United States (Country)	37.1679	-95.845	99999999	NA	NA	-999	-999
672	20110908	40792	ALQ	YEMZINJUBARPROV	01	Armed Group	190	Use conventional military force	ADVANCES ON AL QAEDA MILITANTS IN ZINJUBAR	20110908  www_142533	Yemen army advances on al-Qaeda militants in Zinjubar and kills and wounds dozens.	1958957	Town	Al Kawd; Abyan; YE (Town)	13.093	45.363	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999
822	20111005	40819	ALQ	YMS	01	Armed Group	190	Use conventional military force	KILL AL QAEDA INSURGENTS IN SOUTH YEMEN	20111005  www_120722	US drones kill more al-Qaeda insurgents in South Yemen.	23425002	Country	Yemen (Country)	15.7967	47.8507	2393771	Town	Drone; GA; US (Town)	33.055	-82.1597	23424977	Country	United States (Country)	37.1679	-95.845
880	20111018	40832	ALQ	USA	01	Armed Group	190	Use conventional military force	AL QAEDA STRIKE AMERICANS	20111018  www_129044	Yemen based Al-Qaeda and tribesmen threaten to strike Americans.	23425002	Country	Yemen (Country)	15.7967	47.8507	2393771	Town	Drone; GA; US (Town)	33.055	-82.1597	23424977	Country	United States (Country)	37.1679	-95.845
925	20111104	40849	ALQ	YEM	01	Armed Group	190	Use conventional military force	AL QAEDA ATTACKS YEMEN	20111104  www_107618	Al-Qaeda attacks member of Yemen Senate.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1076	20111220	40895	ALQ	YEMMIL	01	Armed Group	190	Use conventional military force	BATTLE	20111220  english_51782	Yemeni soldiers battle 'al-Qaeda' fighters.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1334	20120221	40958	ALQ	YEM	01	Armed Group	190	Use conventional military force	ATTACKS KILLED	20120221  www_132138	Al-Qaeda attacks Yemen's balloting centers; gunmen storm elections centers; soldier killed; four wounded in Mukalla; officials said.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1359	20120304	40970	ALQ	YEM	01	Armed Group	190	Use conventional military force	ATTACK BASE	20120304  arabnews_134237	61 dead in Al-Qaeda attack on Yemen base.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
1366	20120309	40975	ALQ	YEMSANAACTY	01	Armed Group	190	Use conventional military force	AL QAEDA STRIKES SANA'A	20120309  www_137814	Yemen based al-Qaeda plans strikes on Sana'a and Mukala.	23425002	Country	Yemen (Country)	15.7967	47.8507	1959103	Town	Mukayris; Al Bayda?; YE (Town)	13.938	45.674	99999999	NA	NA	-999	-999
596	20110824	40777	PIRAT	ECON	01	Armed Group	180	Use unconventional violence	FOIL ATTACK ON OIL TANKER	20110824  www_1241	Yemen coastguards foil piracy attack on oil tanker.	23425002	Country	Yemen (Country)	15.7967	47.8507	1958930	Town	Aden; `Adan; YE (Town)	12.801	45.0335	99999999	NA	NA	-999	-999
1360	20120305	40971	ALQ	YEMMIL	01	Armed Group	175	Use violent repression	PARADE CAPTURED	20120305  arabnews_134893	Al-Qaeda militants parade captured Yemen troops.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
14	20110222	40594	YEMPOP	POP	02	Civil	112	Accuse	EXPOSE SEXUAL HARASSMENT	20110222  www_19399	Yemeni women expose sexual harassment by taxi drivers.	23425002	Country	Yemen (Country)	15.7967	47.8507	2487384	Town	Salem; OR; US (Town)	44.9333	-123.044	99999999	NA	NA	-999	-999
16	20110222	40594	YEM	OPP	02	Civil	173	Arrest/ detain/ or charge with legal action	PROTEST BOMBER ARRESTED IN YEMEN	20110222  www_19402	Protest bomber arrested in Yemen.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
93	20110323	40623	YEMOPP	TARDEF	02	Civil	173	Arrest/ detain/ or charge with legal action	KILLER SUSPECTS IDENTIFIED	20110323  www_19517	Yemen Protesters killer suspects identified.	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
109	20110402	40633	YEM	OPP	02	Civil	173	Arrest/ detain/ or charge with legal action	FACE LEGAL ACTION	20110402  www_19349	Yemen Political parties face legal action for using children in protests.	782538	Town	Geneva; Canton of Geneva; CH (Town)	46.2084	6.1427	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
161	20110410	40641	YEM	ECON	02	Civil	173	Arrest/ detain/ or charge with legal action	TAKE LEGAL ACTION AGAINST MERCHANTS	20110410  www_108	Yemen to take legal action against exploitative merchants.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
207	20110419	40650	SRCDEF	TARDEF	02	Civil	173	Arrest/ detain/ or charge with legal action	FACE HARASSMENT CLAIMS	20110419  www_202	Yemen defected military and Islah face harassment claims.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
384	20110529	40690	GRP	YEM	02	Civil	173	Arrest/ detain/ or charge with legal action	FIGHTERS SEIZE YEMENI	20110529  english_101102	'Al-Qaeda fighters seize Yemeni city'.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
424	20110613	40705	YEMGOV	YEM	02	Civil	173	Arrest/ detain/ or charge with legal action	YEMEN ARRESTS IN SALEH'S	20110613  arabnews_2476	Yemen says makes arrests in attempt on Saleh's life.	23425002	Country	Yemen (Country)	15.7967	47.8507	99999999	NA	NA	-999	-999	99999999	NA	NA	-999	-999
427	20110615	40707	OPP	YMS	02	Civil	173	Arrest/ detain/ or charge with legal action	MILITANTS SEIZE SOUTHERN YEMENI	20110615  arabnews_2496	Militants seize parts of a southern Yemeni city.	23425002	Country	Yemen (Country)	15.7967	47.8507	1958237	Town	San'a; Amanat Al Asimah; YE (Town)	15.3547	44.2067	23404002	Town	Aden; Alberta; CA (Town)	49.0404	-111.32
