ID,Class,Classified,Bandwidth,Posterior_prob_1,Posterior_prob_2,Posterior_prob_3,Mahalanobis2_1,Mahalanobis2_2,Mahalanobis2_3,Category_1_P_0,Category_1_P_1,Category_1_P_2,Category_1_P_3,Category_1_P_4,Category_2_P_0,Category_2_P_1,Category_2_P_2,Category_2_P_3,Category_2_P_4,Category_3_P_0,Category_3_P_1,Category_3_P_2,Category_3_P_3,Category_3_P_4
118,3,3,5.0000,0.0000,0.0000,1.0000,722.5740,105.0518,5.7912,-117.6150,26.5636,27.0833,-2.2178,13.8539,-289.6565,20.3860,2.5436,69.3233,78.5335,-515.9088,19.2320,-3.4745,102.2360,118.1348
24,1,1,5.0990,1.0000,0.0000,0.0000,2.4483,225.7359,513.6006,-133.1711,30.1657,25.0730,9.3636,10.0144,-314.1098,28.2391,11.5417,68.9932,54.8208,-522.6130,29.7038,10.6865,96.7684,80.2318
25,1,1,5.0990,1.0000,0.0000,0.0000,2.9890,240.2117,542.0478,-169.7367,40.3430,24.1913,24.4082,1.1795,-401.8995,44.5233,15.8505,84.5852,38.7216,-644.3818,50.4507,17.0502,113.7721,56.6146
45,1,1,5.8310,1.0000,0.0000,0.0000,1.3523,199.5958,449.9080,-180.0000,42.7194,26.4252,26.2029,-5.9985,-397.6223,46.7074,21.8980,81.0652,21.8180,-619.5978,53.1742,24.3088,107.6373,32.2947
84,2,2,6.3246,0.0000,1.0000,0.0000,246.7124,3.1574,59.1758,-206.2809,46.5928,30.9562,36.5756,-10.5889,-459.3482,53.1235,29.3910,95.1590,15.1054,-709.3888,61.3748,33.2572,124.5386,22.7612
13,1,1,5.3852,1.0000,0.0000,0.0000,0.9593,350.6054,765.5830,-117.0032,31.6279,28.8224,-5.3038,-21.5103,-278.2051,16.2009,-2.4764,100.7017,37.6618,-474.6199,-3.7817,-1.6377,157.3015,68.5309
140,3,3,5.0000,0.0000,0.0000,1.0000,689.2411,65.5359,4.2364,-129.2662,34.1629,29.2765,1.7484,-24.1914,-306.2872,31.2676,-10.7789,98.8000,27.6870,-482.2058,19.7389,-14.5588,144.3774,52.3135
117,3,3,4.4721,0.0000,0.0000,1.0000,740.0727,58.7538,1.5108,-157.3042,39.7759,33.1239,13.1802,-34.8913,-385.5552,45.5095,-16.4817,120.2399,16.0144,-571.3825,39.0325,-23.6569,163.6660,37.8095
88,2,2,4.1231,0.0000,1.0000,0.0000,551.2035,4.6638,60.5141,-206.0731,44.4882,50.2579,26.2273,-57.8054,-492.0783,47.1187,-6.6590,165.2135,-10.0572,-707.1176,42.6009,-16.3065,213.8243,8.3101
56,2,2,4.2426,0.0000,1.0000,0.0000,504.6945,2.9589,56.6232,-256.3777,44.2856,76.3159,35.6371,-80.1189,-515.0995,32.7287,31.3908,181.8756,-46.9027,-739.5514,25.6548,26.8338,234.2624,-35.3954
79,2,2,4.2426,0.0000,1.0000,0.0000,492.7602,0.7222,68.8674,-308.5102,39.3072,100.8514,67.0964,-97.2128,-619.1865,21.4447,74.6280,228.1681,-87.1492,-895.3085,13.0139,77.1972,290.2901,-83.3928
40,1,1,4.1231,1.0000,0.0000,0.0000,0.3871,710.7647,1373.1140,-291.7933,22.6963,101.2840,97.1314,-94.2695,-786.8883,-1.1561,75.8603,328.0935,-86.5151,-1198.1137,-12.4884,76.2410,417.4683,-74.0735
27,1,1,4.0000,1.0000,0.0000,0.0000,1.1524,647.7243,1277.7607,-206.0261,21.5503,88.1544,10.1068,-58.5168,-487.1071,5.1483,2.4255,199.6171,11.6500,-808.7941,-2.7943,-22.1141,269.5591,56.4233
101,3,3,4.1231,0.0000,0.0000,1.0000,1300.0975,160.1754,5.0098,-152.2442,27.1438,64.8214,-33.6427,-25.3845,-306.9215,11.2625,-24.7758,106.2125,87.1075,-587.9129,5.4790,-56.5975,160.8968,155.8740
74,2,2,4.1231,0.0000,1.0000,0.0000,417.0761,2.2826,118.3869,-122.4941,26.7611,40.1114,-21.5880,-1.3526,-274.7336,11.6265,-10.1083,81.2974,89.4904,-529.1946,6.7454,-28.5863,125.9596,146.1648
19,1,1,4.4721,1.0000,0.0000,0.0000,2.9232,296.4940,623.2750,-115.8125,26.9254,28.8570,-7.5754,4.5477,-248.5315,17.0693,4.5426,62.5963,55.2691,-434.2756,14.7082,-2.1839,93.3319,85.6750
106,3,3,4.2426,0.0000,0.0000,1.0000,557.4434,73.2852,1.5432,-136.8293,32.9120,24.6656,7.3357,2.6415,-301.3614,28.8396,11.8761,67.1315,41.3452,-495.3395,29.9014,10.6509,94.5119,62.6522
123,3,3,4.4721,0.0000,0.0000,1.0000,517.0499,69.9548,3.0818,-169.1398,43.4258,22.9378,19.1851,-7.4634,-366.0407,44.8207,16.4686,74.5501,20.9745,-572.4730,50.0464,17.5638,100.4300,32.5590
73,2,2,5.3852,0.0000,1.0000,0.0000,202.1804,1.6807,53.7059,-180.8470,41.5394,29.4428,25.2644,-8.7857,-383.1387,43.8561,26.5884,78.5578,13.8441,-585.5834,49.2820,29.4646,103.8926,21.1224
78,2,2,5.8310,0.0000,1.0000,0.0000,228.2941,1.4238,42.8311,-204.0031,43.7974,34.6885,35.2971,-11.7263,-438.8312,48.0642,35.6262,91.6465,8.9298,-666.8100,54.7078,40.4494,119.5906,13.9727
72,2,2,5.0000,0.0000,1.0000,0.0000,326.6472,1.0015,107.3083,-98.0992,28.6767,23.8827,-11.5352,-13.1856,-242.1444,2.3353,2.1458,102.5347,42.3028,-458.3107,-24.8125,8.4317,169.4288,75.7161
9,1,1,4.1231,1.0000,0.0000,0.0000,2.5410,364.7278,834.0451,-110.4487,27.3708,27.6055,0.7076,-11.2824,-313.0901,7.6521,0.2360,125.4775,53.7386,-563.1421,-15.1786,4.7573,193.7545,89.4809
18,1,1,4.0000,1.0000,0.0000,0.0000,1.0652,349.6591,682.3353,-129.3467,33.4839,29.5293,1.6191,-20.1686,-297.8932,33.6689,-13.5384,93.5413,31.0039,-470.9319,25.5126,-18.3530,134.6541,56.3068
50,1,1,3.6056,1.0000,0.0000,0.0000,0.3068,380.2447,677.7486,-182.7936,42.8282,46.2168,6.1182,-44.2504,-353.8071,45.5408,-8.2834,104.3345,4.8962,-509.0461,42.5550,-17.4001,138.0368,26.4858
104,3,3,4.0000,0.0000,0.0000,1.0000,630.6898,47.6130,2.6076,-199.7105,42.2056,53.3324,13.0281,-55.3901,-349.7445,39.0510,9.2364,107.0612,-20.5346,-495.4735,35.5372,3.8772,138.9611,-5.3845
137,3,3,4.0000,0.0000,0.0000,1.0000,640.6323,65.1595,4.3983,-236.4246,39.4063,66.1367,43.6446,-68.5527,-448.5564,31.8267,44.0137,148.2575,-53.1339,-633.0238,27.3956,45.5645,185.7926,-41.7609
32,1,1,4.0000,1.0000,0.0000,0.0000,3.1885,420.0001,789.4329,-243.3195,25.6416,79.3502,69.1128,-74.0411,-545.8555,13.6741,65.4992,206.4045,-74.2636,-789.0198,7.8675,68.8060,256.1927,-64.5707
105,3,3,3.6056,0.0000,0.0000,1.0000,1312.1666,110.8192,0.5533,-279.3279,13.3416,106.3644,100.9136,-104.2290,-764.3657,-2.1569,70.1548,328.2184,-114.8140,-1130.4024,-8.2670,62.4468,405.5208,-98.6072
59,2,2,3.6056,0.0000,1.0000,0.0000,572.1236,1.9211,112.8737,-193.1798,22.4734,82.0605,3.4588,-64.2279,-410.9840,13.3881,-4.5744,161.2679,3.6086,-670.9080,11.2494,-36.6826,215.2503,52.3455
144,3,3,4.1231,0.0000,0.0000,1.0000,682.1449,67.4218,1.0698,-127.0106,25.7762,43.7955,-18.2893,-14.7639,-226.9211,11.3605,1.6842,69.1101,39.3226,-394.4605,7.5499,-13.6563,103.2537,71.6138
64,2,2,4.1231,0.0000,1.0000,0.0000,282.2402,0.5457,54.4751,-122.0047,27.3157,32.9643,-8.4112,-5.8372,-239.0157,14.1415,8.8690,66.4238,34.4293,-401.6740,10.9698,1.3793,97.2946,57.0497
136,3,3,4.2426,0.0000,0.0000,1.0000,458.3020,51.0789,6.2161,-137.9537,31.9326,29.1947,4.2348,-6.2131,-275.5686,22.6837,18.6518,66.7739,20.9971,-434.5760,21.4061,17.5364,93.5757,34.5326
132,3,3,4.1231,0.0000,0.0000,1.0000,437.4414,58.3461,6.6575,-162.8675,39.2911,27.0950,15.8683,-8.3837,-336.0319,35.7254,23.8392,72.4924,12.0456,-511.3176,38.0888,25.6912,97.6876,19.1320
53,2,2,4.4721,0.0000,1.0000,0.0000,211.8671,2.5416,45.0341,-200.3283,43.5164,34.8374,30.8757,-8.0528,-426.6581,45.6235,36.5440,88.8245,10.0898,-640.2455,50.7574,41.2815,116.4695,14.6034
119,3,3,5.0990,0.0000,0.0000,1.0000,544.4057,84.3050,6.8952,-220.7445,45.7186,41.1015,36.6918,-11.7953,-458.7791,48.0869,46.6446,94.7729,3.2821,-683.1787,53.5746,53.4997,123.3715,5.7583
1,1,1,4.4721,1.0000,0.0000,0.0000,2.1531,389.0095,935.1665,-88.8543,29.3415,17.5976,-13.3300,-2.5117,-251.0299,-10.9690,7.8486,130.5871,32.3294,-514.2638,-45.2825,18.9875,216.2960,63.2090
115,3,3,4.1231,0.0000,0.0000,1.0000,781.0559,130.0548,6.5231,-99.2292,29.3821,19.8991,-4.9003,-1.5139,-255.3271,7.6096,2.5407,105.9135,36.5411,-475.0312,-13.2636,8.3396,167.6207,66.3706
143,3,3,3.6056,0.0000,0.0000,1.0000,719.8682,80.2224,1.9838,-117.5939,30.9591,22.6130,7.0820,2.9869,-322.2113,23.8091,-6.1094,115.2993,51.1727,-562.4156,13.0612,-5.2114,169.2031,85.0293
148,3,3,3.6056,0.0000,0.0000,1.0000,567.9799,49.3359,1.0657,-136.5641,37.5864,23.0437,9.4710,-15.9883,-311.7477,47.1504,-20.4142,89.7589,26.6197,-482.1204,47.2692,-27.3608,121.0640,52.5143
48,1,1,3.6056,1.0000,0.0000,0.0000,1.8004,295.8151,548.2734,-184.7108,47.5231,31.9106,22.2366,-46.1704,-360.5708,59.2650,-11.9779,99.2732,-9.0105,-516.2136,61.5106,-18.8725,125.5948,12.4716
4,1,1,3.6056,1.0000,0.0000,0.0000,3.1807,275.6693,543.7790,-213.2564,50.2400,37.5138,37.8495,-53.5613,-419.1373,54.5692,11.4791,120.7735,-23.3420,-601.8114,54.8720,10.7499,150.9492,-2.2238
91,2,2,3.6056,0.0000,1.0000,0.0000,325.2315,1.4598,57.9818,-207.2701,31.2520,52.8827,57.3901,-51.7601,-469.4926,28.6019,40.6666,161.4781,-41.3778,-674.8972,26.9385,42.9968,198.4232,-26.6485
28,1,1,3.6056,1.0000,0.0000,0.0000,0.4922,427.8913,798.3119,-234.6459,21.2671,75.2812,81.0902,-81.5213,-575.1411,20.4903,53.5875,219.1507,-83.1601,-812.2128,20.0532,48.9508,264.0207,-67.8715
35,1,1,3.6056,1.0000,0.0000,0.0000,1.6895,561.9226,1084.4402,-287.2987,28.6700,92.4445,89.6955,-106.3769,-707.0356,35.4450,44.8028,257.2321,-78.3012,-1013.7573,38.6370,25.5839,315.0491,-51.5519
12,1,1,3.6056,1.0000,0.0000,0.0000,1.0168,440.6716,891.1242,-182.9531,20.7557,63.1909,31.8008,-51.1850,-440.7615,11.9362,23.1697,161.0318,-3.1016,-688.1819,10.2693,7.0486,210.8142,23.6753
57,2,2,3.6056,0.0000,1.0000,0.0000,334.0723,1.0733,52.4830,-136.2604,26.0686,39.0821,1.1765,-19.3085,-287.4653,8.1300,17.3907,96.3283,15.1200,-462.0681,3.9931,9.1305,133.5668,32.1190
47,1,1,3.6056,1.0000,0.0000,0.0000,1.1169,296.5058,587.1975,-142.0429,33.8181,30.1531,0.7671,-8.7045,-305.3892,13.0378,22.3424,92.6579,12.7297,-476.4211,8.0839,20.0436,128.7670,22.2894
131,3,3,4.0000,0.0000,0.0000,1.0000,441.7511,36.8332,1.6063,-165.5153,36.8523,32.4753,14.5592,-4.0170,-351.4400,27.4657,32.8374,85.7764,7.7756,-524.0957,26.1196,35.4438,116.2935,11.3429
108,3,3,4.0000,0.0000,0.0000,1.0000,492.5101,51.6031,2.3153,-208.3140,42.5690,41.7112,30.3137,-5.6697,-449.3594,37.9421,49.2011,103.6716,0.6635,-664.4264,38.7474,56.0839,137.6809,0.4486
21,1,1,4.4721,1.0000,0.0000,0.0000,0.9758,238.0507,518.2075,-228.9055,37.9193,53.3094,48.3803,-15.6955,-506.9147,33.8888,67.8527,125.4870,-12.1569,-753.4630,34.7916,78.9379,163.4163,-15.0295
43,1,1,4.4721,1.0000,0.0000,0.0000,2.0836,282.4754,682.8134,-89.3111,30.9885,11.6948,-4.3657,1.0444,-242.3242,0.3118,5.5092,124.7676,-0.3801,-458.6327,-21.9625,12.6703,191.9481,19.1028
81,2,2,4.1231,0.0000,1.0000,0.0000,278.9933,0.2662,82.4336,-95.7746,31.0001,11.2581,5.3832,-1.8322,-262.3109,11.7012,0.8531,118.3941,5.0539,-468.2886,-2.5361,4.1471,174.2720,25.9244
63,2,2,3.6056,0.0000,1.0000,0.0000,377.8869,3.6922,82.3316,-117.8685,34.9018,8.2996,29.4600,-4.0892,-379.8551,29.5120,-9.8540,156.4805,9.1895,-634.9498,23.6484,-11.2157,214.8958,29.4809
5,1,1,3.6056,1.0000,0.0000,0.0000,0.6596,362.6611,736.0477,-141.1091,43.5918,3.9871,41.6819,-20.9746,-433.1865,58.6463,-30.6592,153.0080,2.3976,-677.6985,61.8686,-38.5945,200.4170,21.9049
100,2,2,3.6056,0.0000,1.0000,0.0000,340.5822,1.0244,60.0977,-180.8269,55.0785,9.7999,42.9981,-43.7007,-452.3303,79.4313,-37.7013,139.8532,-14.1864,-676.8256,86.9281,-48.7293,178.3040,5.3962
34,1,1,4.1231,1.0000,0.0000,0.0000,8.2955,314.5183,575.0518,-177.5488,50.0403,20.1235,28.6073,-45.5029,-355.2517,63.4485,-16.6650,100.2819,-20.4363,-519.6697,67.3576,-23.5726,127.1821,-0.4219
138,3,3,3.6056,0.0000,0.0000,1.0000,558.3570,52.1793,4.1596,-166.3444,34.3877,29.0548,43.2321,-39.9700,-387.9163,37.5440,10.4797,129.1675,-18.0823,-577.7538,37.2497,9.9326,161.4367,4.1106
129,3,3,3.6056,0.0000,0.0000,1.0000,674.9781,64.3843,1.3418,-193.6561,25.6366,52.3154,59.7189,-65.6419,-452.9195,22.3838,36.9598,167.4876,-53.7995,-643.9169,20.1702,34.0302,204.4448,-35.7383
67,2,2,3.6056,0.0000,1.0000,0.0000,469.7670,4.2484,70.3905,-229.9084,27.2991,64.9687,75.7323,-88.5788,-572.8373,30.1375,35.3813,205.4965,-45.5011,-831.6242,31.1299,22.6374,253.2585,-16.5273
125,3,3,3.6056,0.0000,0.0000,1.0000,1058.5974,88.8552,1.7955,-204.7918,22.9405,51.0207,76.6723,-47.9831,-642.9358,22.1963,28.2556,234.6711,0.8421,-983.9187,22.4919,19.2516,298.1747,24.7828
109,3,3,3.6056,0.0000,0.0000,1.0000,957.9011,83.3969,3.2043,-154.5060,21.6532,34.9043,46.4340,-19.1064,-516.6299,4.3999,26.0964,199.3956,8.5690,-820.0177,-1.6659,23.3651,263.0288,20.7247
130,3,3,3.6056,0.0000,0.0000,1.0000,796.8259,55.3882,4.5826,-146.7048,30.5546,26.2048,24.8926,-5.8567,-461.9310,18.9034,10.0281,160.0959,15.5085,-729.7571,14.8292,4.8479,216.1469,23.6384
44,1,1,3.6056,1.0000,0.0000,0.0000,2.8462,337.8152,688.4790,-154.9517,35.4685,26.8401,18.8534,-2.5509,-421.9228,24.7223,18.2548,131.3959,2.7786,-651.2110,21.2909,16.7239,179.0012,3.2836
110,3,3,4.0000,0.0000,0.0000,1.0000,565.3191,58.8252,6.6456,-175.0579,36.1266,35.1387,27.3916,-8.4310,-420.4373,24.1025,42.2322,120.6856,-12.2030,-638.9516,20.4643,48.0445,163.6054,-16.9774
71,2,2,4.4721,0.0000,1.0000,0.0000,271.8556,4.6067,53.3852,-197.8128,33.2571,48.3536,40.8467,-19.5895,-451.6116,18.9020,67.0832,130.5258,-29.7429,-680.5244,14.3900,78.9401,174.0505,-38.4744
122,3,3,5.0000,0.0000,0.0000,1.0000,450.8777,72.7383,1.4878,-78.4084,20.7880,12.0974,15.1616,-11.1542,-200.0521,7.9680,8.9374,92.8913,-5.9151,-358.7588,-3.6272,15.4188,135.5266,10.1867
42,1,1,4.1231,1.0000,0.0000,0.0000,8.1196,210.4889,513.0846,-89.5462,24.9300,9.5087,22.9263,-9.5434,-253.9879,14.8641,5.0902,113.3512,-5.6644,-442.4029,6.7894,8.6178,160.1771,9.2229
82,2,2,4.0000,0.0000,1.0000,0.0000,220.8729,0.4348,75.6641,-96.1407,29.8371,3.8307,27.3719,-15.6423,-283.1906,25.5827,-5.5625,117.8017,-7.0208,-472.3022,20.8616,-5.3045,160.8147,10.6746
54,2,2,3.6056,0.0000,1.0000,0.0000,438.3658,1.9423,63.2800,-152.9435,47.7401,-4.0246,66.2815,-36.4623,-521.6882,58.9790,-28.0030,210.8817,-35.0070,-811.0097,61.1598,-33.7932,272.3303,-24.0980
142,3,3,3.6056,0.0000,0.0000,1.0000,927.9570,92.7272,6.2569,-171.0940,54.8248,-2.3978,61.8372,-47.2114,-555.5248,79.9608,-52.5333,207.4730,-29.2616,-848.1072,86.5583,-65.8008,265.7120,-14.3027
150,3,3,4.0000,0.0000,0.0000,1.0000,561.9250,44.6991,5.5230,-142.9376,43.1640,7.6266,34.6240,-33.5055,-379.9002,56.0491,-26.6757,128.3024,-8.6716,-585.9982,58.2453,-33.0743,166.1715,12.8794
116,3,3,4.0000,0.0000,0.0000,1.0000,545.8793,64.0743,3.9428,-131.6928,31.1310,22.2415,24.2345,-34.3484,-302.3868,30.9749,-1.7590,105.4362,-8.6840,-462.0984,28.8584,-5.2685,136.0576,14.0378
113,3,3,4.0000,0.0000,0.0000,1.0000,577.1729,57.6091,1.3554,-145.2167,25.4541,37.3594,27.9846,-48.9346,-310.4075,18.5893,16.8884,113.2211,-18.3316,-464.5094,14.5169,12.0610,144.8183,5.7725
76,2,2,3.6056,0.0000,1.0000,0.0000,421.8803,2.8122,76.5334,-171.9222,22.4379,47.2070,50.8017,-67.9007,-445.1601,14.9025,22.2198,171.4619,-13.2129,-677.7958,11.1454,11.8484,217.9851,20.3468
52,2,2,3.6056,0.0000,1.0000,0.0000,588.7127,0.7108,88.7832,-165.9248,20.3559,38.3762,59.3458,-36.8227,-569.3385,14.3740,11.3387,216.9376,38.5483,-912.3303,11.3257,1.4462,282.7354,74.5682
121,3,3,3.6056,0.0000,0.0000,1.0000,1160.8976,110.8016,2.4731,-166.9215,21.5141,37.3861,53.8657,-12.2699,-590.3104,0.2708,30.2913,230.5511,35.8225,-949.1608,-9.8100,30.4257,307.0339,55.9050
49,1,1,3.6056,1.0000,0.0000,0.0000,0.3013,555.5571,1108.3145,-143.7644,34.1798,16.8785,28.8089,3.5564,-537.7031,17.0905,2.3326,198.5887,33.7282,-869.3770,8.3281,-0.3401,271.5709,44.4872
51,2,2,3.6056,0.0000,1.0000,0.0000,580.1452,3.4514,99.3229,-154.3662,41.6312,10.0806,35.3984,7.3209,-607.1118,34.0920,-9.6675,212.1439,26.1470,-975.1065,31.0296,-15.0938,286.8405,31.7087
126,3,3,4.0000,0.0000,0.0000,1.0000,704.3573,62.8467,1.4466,-146.5672,37.8227,20.1106,18.1756,3.6683,-423.7468,26.0602,14.6903,130.8420,16.9858,-670.3705,22.8351,14.5086,179.8158,21.0319
87,2,2,4.2426,0.0000,1.0000,0.0000,299.7288,1.7715,65.8826,-173.8095,34.9469,38.2051,27.8432,-6.7895,-437.2566,20.2455,44.8538,129.9260,0.2274,-679.4828,16.3972,50.1118,176.2487,1.5193
61,2,2,4.2426,0.0000,1.0000,0.0000,182.5049,0.9607,86.1433,-75.1003,17.2029,12.6297,22.6012,-8.7458,-208.3599,3.2206,15.7460,99.8799,8.4893,-399.4714,-9.3028,25.7396,146.9113,35.0292
80,2,2,4.0000,0.0000,1.0000,0.0000,149.1756,1.2298,79.4145,-78.5565,18.2180,13.1497,21.4252,-13.1492,-198.8771,6.1756,14.3121,91.4985,1.5070,-365.0689,-3.5052,21.4933,132.7297,20.8071
124,3,3,3.6056,0.0000,0.0000,1.0000,370.6257,46.0755,0.7716,-91.4621,24.5070,12.0835,19.8526,-23.6129,-201.9881,16.2305,7.8206,83.1796,-9.0851,-343.0696,10.1994,10.6045,117.0521,6.6026
120,3,3,3.6056,0.0000,0.0000,1.0000,480.4963,48.8798,5.6888,-117.4360,34.1441,8.6105,32.3754,-37.7364,-287.9901,34.8526,-6.3282,112.2860,-27.4542,-449.7763,33.2126,-8.3814,147.8057,-14.0276
83,2,2,3.6056,0.0000,1.0000,0.0000,562.1947,0.5126,104.7890,-156.5370,44.1170,-1.4046,79.9270,-41.3232,-646.9404,66.2765,-50.8673,276.0268,-31.7570,-1011.2791,71.7337,-64.0648,352.8758,-18.0312
90,2,2,3.6056,0.0000,1.0000,0.0000,505.9854,0.7836,87.5688,-131.5756,36.6688,6.2157,46.8427,-19.7834,-500.9972,40.5102,-28.4566,208.6524,11.2449,-819.8338,39.1013,-35.3722,275.4574,36.8315
68,2,2,4.0000,0.0000,1.0000,0.0000,288.9248,3.2877,71.1507,-114.5857,28.3217,20.7013,16.4729,-24.6430,-291.7701,22.6475,-3.0117,111.2849,3.5664,-463.9136,19.4029,-8.0591,146.9361,28.0550
112,3,3,4.0000,0.0000,0.0000,1.0000,578.2673,50.5374,1.7506,-122.9199,27.4822,29.8357,10.0218,-38.1349,-263.2734,16.5939,3.9726,101.9938,-8.5124,-408.4942,11.5782,-3.6931,135.0108,16.4467
96,2,2,3.6056,0.0000,1.0000,0.0000,377.7894,3.2751,90.8580,-130.4164,25.1926,30.8085,23.9553,-48.8168,-352.8660,13.0399,0.8381,145.8348,-1.3212,-559.7781,7.4003,-11.0320,191.0188,32.9319
66,2,2,3.6056,0.0000,1.0000,0.0000,462.0045,2.5917,91.2672,-146.0871,24.9953,37.4830,19.2943,-42.3684,-378.2562,7.0246,5.8126,151.5953,27.8696,-624.1134,-1.3465,-5.0956,205.8828,65.4101
16,1,1,3.6056,1.0000,0.0000,0.0000,4.2659,544.1881,1103.2961,-136.9010,25.8760,28.0097,21.5996,-13.5563,-445.5908,-7.4774,18.4976,184.7345,51.4287,-754.9635,-23.2592,18.5070,256.0204,83.4399
33,1,1,3.6056,1.0000,0.0000,0.0000,2.8414,595.3159,1195.1389,-123.3958,32.1477,14.3623,14.0780,9.1700,-486.5403,-5.1914,9.1764,198.7741,62.0608,-825.5236,-22.2549,10.7728,277.9743,86.6222
38,1,1,3.6056,1.0000,0.0000,0.0000,1.8647,600.6786,1205.0386,-125.7242,35.3655,7.6588,24.1384,15.5459,-556.6020,12.9066,-7.3918,213.6130,55.1889,-923.4504,4.2570,-11.0771,291.3967,73.1892
92,2,2,4.4721,0.0000,1.0000,0.0000,441.7063,0.6753,77.3617,-119.3561,31.7913,14.8176,13.8760,10.7611,-421.6410,17.0366,-0.2148,145.7144,47.5069,-695.1359,13.4654,-5.0658,199.4975,64.7120
30,1,1,5.0000,1.0000,0.0000,0.0000,1.9422,313.8585,654.8116,-124.7828,34.0242,18.9731,5.9680,9.4275,-353.1653,18.5998,11.7324,106.9905,41.6960,-571.6551,15.6548,9.5447,148.0614,57.4038
14,1,1,5.0000,1.0000,0.0000,0.0000,2.1578,188.0896,520.1359,-70.8663,8.8710,20.6382,27.1816,-22.1395,-185.2473,-7.8716,24.9266,97.0866,14.3362,-377.1228,-24.1457,38.2876,144.4401,50.9249
94,2,2,4.4721,0.0000,1.0000,0.0000,142.1972,0.8946,87.5282,-76.9506,10.1396,23.6115,23.6293,-26.3771,-168.8953,-4.6650,24.5837,83.0687,11.8563,-333.5704,-18.6573,35.5395,123.1731,45.6332
17,1,1,4.0000,1.0000,0.0000,0.0000,2.4953,141.4603,357.5930,-86.3359,13.6379,24.6599,21.5614,-32.9136,-159.9921,2.6625,20.8500,71.9949,-1.0737,-293.2937,-7.4405,27.9467,104.1467,24.7188
41,1,1,4.0000,1.0000,0.0000,0.0000,0.1796,140.0561,320.3984,-105.3969,21.2502,26.4302,16.9693,-39.3903,-168.3726,17.9148,10.4186,61.3094,-12.3474,-274.2836,14.5141,9.6668,83.8445,7.9164
114,3,3,4.1231,0.0000,0.0000,1.0000,495.7721,59.2083,3.1053,-115.7773,23.3677,25.6263,26.5842,-38.7236,-247.8828,23.1855,3.7723,97.2116,-12.2615,-400.5014,22.4433,-0.4815,128.1092,8.2623
70,2,2,3.6056,0.0000,1.0000,0.0000,400.9816,0.7783,89.5851,-147.0381,25.3081,33.9614,48.6192,-33.9533,-438.3208,21.3221,9.0437,187.1807,-1.5804,-711.7576,19.6624,3.8496,244.7704,22.7039
