Number,SepalLengthTransform,SepalWidthTransform,PetalLengthTransform,PetalWidthTransform
22,-2.7649,0.4879,-0.3377,-0.0178
27,-2.1610,0.5502,0.2006,-0.0092
35,-2.2037,-0.1837,0.2179,-0.1681
10,-2.1563,1.0670,0.2631,-0.0153
4,-2.3808,0.6725,-0.0214,0.0373
42,-2.5493,-0.4523,-0.3125,0.0672
7,-2.2264,0.2468,0.0823,0.0254
20,-1.9082,0.4290,0.4146,-0.0103
30,-2.1374,-0.4823,0.0676,0.0482
3,-2.2965,-0.5734,-0.0985,0.0661
46,-2.3733,1.1468,-0.0619,0.1537
24,-2.2208,0.1616,-0.1238,0.2703
29,-2.2612,-0.3138,-0.0753,0.1085
25,-1.9505,-0.6059,0.2976,-0.0437
48,-2.2193,1.0221,0.1761,0.0164
39,-2.1633,0.2917,0.1694,-0.0062
33,-2.4298,2.1781,0.0791,0.0509
0,-2.2570,0.5040,0.1215,-0.0230
11,-2.3196,0.1581,-0.0998,0.1341
14,-2.1850,1.8837,0.4679,-0.1921
36,-2.0376,0.6827,0.4778,-0.1950
1,-2.0795,-0.6532,0.2265,-0.1029
2,-2.3600,-0.3174,-0.0513,-0.0277
38,-2.4278,-0.8792,-0.2009,0.0099
28,-2.1332,0.3355,0.2644,-0.0833
64,-0.0371,-0.4314,-0.1974,-0.1087
53,0.3960,-1.7523,0.0185,-0.0672
97,0.5720,-0.1532,0.2691,0.0193
99,0.2514,-0.5939,-0.0944,0.0581
58,0.9231,0.0302,0.5935,0.0290
55,0.3832,-0.5891,-0.1264,0.2397
74,0.6981,-0.0633,0.4433,-0.0439
96,0.2236,-0.3792,-0.1582,0.1321
88,0.0668,-0.2119,-0.2931,0.1470
89,0.2745,-1.3254,-0.0931,-0.0099
71,0.4708,-0.4152,0.2618,-0.1139
87,1.0324,-1.3878,0.6831,-0.1387
94,0.2820,-0.8511,-0.1337,0.1065
41,-1.8655,-2.3199,0.1939,-0.2907
17,-2.1829,0.5126,0.0385,-0.0916
18,-1.8878,1.4263,0.3695,-0.0593
19,-2.3321,1.1542,-0.1370,0.0397
45,-2.0684,-0.6896,0.0564,-0.1398
6,-2.4375,0.0743,-0.3411,0.0380
40,-2.2789,0.4664,-0.0406,-0.1054
73,0.6273,-0.4154,0.2890,0.2726
90,0.2714,-1.1157,-0.0978,0.2689
95,0.0888,-0.1743,-0.1310,0.2294
82,0.2352,-0.7733,0.1475,-0.0244
92,0.3289,-0.9856,0.1953,-0.0076
21,-2.1973,0.9493,-0.1642,-0.0575
44,-2.1262,1.1675,-0.2519,0.1527
5,-2.0636,1.5135,-0.0306,-0.0044
26,-2.0452,0.2651,-0.0918,-0.0664
15,-2.2439,2.7133,-0.0325,-0.0470
31,-1.8258,0.4438,0.2645,-0.2383
16,-2.1954,1.5087,0.0014,-0.1860
98,-0.4555,-1.5343,-0.1955,-0.2002
80,0.1211,-1.5584,0.1448,0.0078
69,0.1564,-1.2988,0.1680,0.0502
23,-1.8143,0.1064,-0.0399,-0.1498
79,-0.0471,-1.0537,0.3143,-0.0658
93,-0.3724,-2.0112,-0.1118,-0.0210
57,-0.4962,-1.8427,-0.2547,0.0393
60,-0.1243,-2.6492,0.0397,-0.0161
81,0.0141,-1.5681,0.2358,0.0310
67,0.1529,-0.7881,0.2976,0.2036
62,0.5498,-1.7667,0.7588,-0.0482
43,-1.9577,0.4957,-0.3137,-0.1750
